row_index,cluster_index,cluster_representative
0,9,geodesic dreams of buckminster fuller
1,9,geodesic dreams of buckminster fuller
2,0,geodesic dreams of buckminster fuller
3,0,geodesic dreams of buckminster fuller
4,3,geodesic dreams of buckminster fuller
5,0,geodesic dreams of buckminster fuller
6,0,geodesic dreams of buckminster fuller
7,0,geodesic dreams of buckminster fuller
8,1,geodesic dreams of buckminster fuller
9,1,geodesic dreams of buckminster fuller
10,1,geodesic dreams of buckminster fuller
11,6,geodesic dreams of buckminster fuller
12,3,geodesic dreams of buckminster fuller
13,3,geodesic dreams of buckminster fuller
14,3,geodesic dreams of buckminster fuller
15,3,geodesic dreams of buckminster fuller
16,3,geodesic dreams of buckminster fuller
17,3,geodesic dreams of buckminster fuller
18,3,geodesic dreams of buckminster fuller
19,3,geodesic dreams of buckminster fuller
20,3,geodesic dreams of buckminster fuller
21,3,geodesic dreams of buckminster fuller
22,3,geodesic dreams of buckminster fuller
23,3,geodesic dreams of buckminster fuller
24,3,geodesic dreams of buckminster fuller
25,3,geodesic dreams of buckminster fuller
26,3,geodesic dreams of buckminster fuller
27,3,geodesic dreams of buckminster fuller
28,3,geodesic dreams of buckminster fuller
29,3,geodesic dreams of buckminster fuller
30,3,geodesic dreams of buckminster fuller
31,3,geodesic dreams of buckminster fuller
32,3,geodesic dreams of buckminster fuller
33,0,geodesic dreams of buckminster fuller
34,1,geodesic dreams of buckminster fuller
35,1,geodesic dreams of buckminster fuller
36,1,geodesic dreams of buckminster fuller
37,0,geodesic dreams of buckminster fuller
38,0,geodesic dreams of buckminster fuller
39,1,geodesic dreams of buckminster fuller
40,0,geodesic dreams of buckminster fuller
41,0,geodesic dreams of buckminster fuller
42,0,geodesic dreams of buckminster fuller
43,0,geodesic dreams of buckminster fuller
44,0,geodesic dreams of buckminster fuller
45,0,geodesic dreams of buckminster fuller
46,0,geodesic dreams of buckminster fuller
47,0,geodesic dreams of buckminster fuller
48,1,geodesic dreams of buckminster fuller
49,1,geodesic dreams of buckminster fuller
50,0,geodesic dreams of buckminster fuller
51,0,geodesic dreams of buckminster fuller
52,3,geodesic dreams of buckminster fuller
53,3,geodesic dreams of buckminster fuller
54,3,geodesic dreams of buckminster fuller
55,0,geodesic dreams of buckminster fuller
56,0,geodesic dreams of buckminster fuller
57,0,geodesic dreams of buckminster fuller
58,0,geodesic dreams of buckminster fuller
59,0,geodesic dreams of buckminster fuller
60,0,geodesic dreams of buckminster fuller
61,0,geodesic dreams of buckminster fuller
62,0,geodesic dreams of buckminster fuller
63,0,geodesic dreams of buckminster fuller
64,0,geodesic dreams of buckminster fuller
65,0,geodesic dreams of buckminster fuller
66,0,geodesic dreams of buckminster fuller
67,0,geodesic dreams of buckminster fuller
68,0,geodesic dreams of buckminster fuller
69,0,geodesic dreams of buckminster fuller
70,0,geodesic dreams of buckminster fuller
71,0,geodesic dreams of buckminster fuller
72,0,geodesic dreams of buckminster fuller
73,0,geodesic dreams of buckminster fuller
74,0,geodesic dreams of buckminster fuller
75,0,geodesic dreams of buckminster fuller
76,0,geodesic dreams of buckminster fuller
77,0,geodesic dreams of buckminster fuller
78,0,geodesic dreams of buckminster fuller
79,0,geodesic dreams of buckminster fuller
80,0,geodesic dreams of buckminster fuller
